video_id,title,title_length,emoji_count_title,channel_name,channel_id,view_count,duration_seconds,published_text,region,category,is_live,scraped_at,like_count,comment_count,like_per_view,comment_per_view,engagement_rate,days_since_published,has_emoji,title_char_per_word,video_length_category,subscriber_count,subscriber_tier
video_0,Video Title 0,71,1,Channel_246,UC878781,1002,60,15 days ago,KR,How-to,0,2026-06-14T17:42:35.790396,96,14,0.09580838323353294,0.013972055888223553,0.10978043912175649,15,1,17.75,Short (<1m),101,Nano
video_1,Video Title 1,34,0,Channel_140,UC609433,1000,1800,1 days ago,IN,How-to,0,2026-06-14T17:42:35.790396,117,20,0.117,0.02,0.137,1,0,8.5,Extended (10-30m),100,Nano
video_2,Video Title 2,91,1,Channel_808,UC557225,1005,60,2 days ago,DE,How-to,0,2026-06-14T17:42:35.790396,13,25,0.012935323383084577,0.024875621890547265,0.03781094527363184,2,1,22.75,Short (<1m),100,Nano
video_3,Video Title 3,80,0,Channel_258,UC770773,1001,1800,1 days ago,DE,Technology,1,2026-06-14T17:42:35.790396,82,5,0.08191808191808192,0.004995004995004995,0.08691308691308691,1,0,20.0,Extended (10-30m),102,Nano
video_4,Video Title 4,40,2,Channel_617,UC271705,1000,300,15 days ago,FR,Education,0,2026-06-14T17:42:35.790396,99,28,0.099,0.028,0.127,15,1,10.0,Medium (1-5m),100,Nano
video_5,Video Title 5,94,2,Channel_381,UC875886,1000,600,4 days ago,JP,Film,0,2026-06-14T17:42:35.790396,75,18,0.075,0.018,0.093,4,1,23.5,Long (5-10m),100,Nano
video_6,Video Title 6,94,0,Channel_848,UC303518,1002,600,4 days ago,AU,Technology,0,2026-06-14T17:42:35.790396,52,9,0.05189620758483034,0.008982035928143712,0.06087824351297405,4,0,23.5,Long (5-10m),100,Nano
video_7,Video Title 7,43,0,Channel_478,UC160032,1000,1800,14 days ago,JP,News,0,2026-06-14T17:42:35.790396,74,16,0.074,0.016,0.09,14,0,10.75,Extended (10-30m),100,Nano
video_8,Video Title 8,22,0,Channel_185,UC528601,1000,600,5 days ago,US,Technology,0,2026-06-14T17:42:35.790396,65,22,0.065,0.022,0.087,5,0,5.5,Long (5-10m),112,Nano
video_9,Video Title 9,41,0,Channel_303,UC606260,1000,1800,21 days ago,JP,How-to,0,2026-06-14T17:42:35.790396,95,24,0.095,0.024,0.119,21,0,10.25,Extended (10-30m),101,Nano
video_10,Video Title 10,72,0,Channel_494,UC201058,1000,60,28 days ago,BR,Entertainment,0,2026-06-14T17:42:35.790396,75,9,0.075,0.009,0.084,28,0,18.0,Short (<1m),100,Nano
video_11,Video Title 11,21,0,Channel_756,UC977472,1001,900,1 days ago,GB,How-to,0,2026-06-14T17:42:35.790396,28,10,0.027972027972027972,0.00999000999000999,0.03796203796203796,1,0,5.25,Extended (10-30m),100,Nano
video_12,Video Title 12,49,0,Channel_164,UC697925,1000,60,15 days ago,FR,Film,0,2026-06-14T17:42:35.790396,21,24,0.021,0.024,0.045,15,0,12.25,Short (<1m),100,Nano
video_13,Video Title 13,57,1,Channel_644,UC412722,1000,1800,7 days ago,FR,Education,1,2026-06-14T17:42:35.790396,32,25,0.032,0.025,0.057,7,1,14.25,Extended (10-30m),101,Nano
